instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
monks-1,3,0.1,53,0.7769784172661871,0.7338129496402878,0.697841726618705,601.3833425045013,0.24183006535947552
monks-1,4,0.0,37,1.0,1.0,1.0,64.02920579910278,0.0
monks-1,4,0.01,37,0.9784172661870504,0.9640287769784173,0.9568345323741008,603.3135325908661,0.8458397141398672
monks-1,4,0.1,37,0.7733812949640287,0.697841726618705,0.7410071942446043,603.365974187851,0.5992317541613245
monks-1,4,0.0,42,0.8992805755395683,0.8920863309352518,0.8920863309352518,603.2613322734833,1.0
monks-1,4,0.01,42,0.8561151079136691,0.8273381294964028,0.8057553956834532,603.7916567325592,0.9397027600849256
monks-1,4,0.1,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,603.7127041816711,0.6555819477434683
monks-1,4,0.0,53,0.9784172661870504,0.9640287769784173,0.9568345323741008,604.0054407119751,1.0
monks-1,4,0.01,53,1.0,1.0,1.0,603.7808418273926,0.6666666666666637
monks-1,4,0.1,53,0.7769784172661871,0.7338129496402878,0.697841726618705,603.240225315094,0.5032679738562081
monks-1,5,0.0,37,0.7733812949640287,0.697841726618705,0.7410071942446043,608.4217071533203,1.0
monks-1,5,0.01,37,0.8633093525179856,0.7841726618705036,0.8273381294964028,608.2799961566925,0.9594641528477867
monks-1,5,0.1,37,0.7733812949640287,0.697841726618705,0.7410071942446043,608.0569176673889,0.6133162612035784
monks-1,5,0.0,42,0.9100719424460432,0.8705035971223022,0.8776978417266187,608.1664385795593,1.0
monks-1,5,0.01,42,0.8381294964028777,0.8201438848920863,0.8057553956834532,607.7088406085968,0.9454894433781189
monks-1,5,0.1,42,0.7482014388489209,0.7338129496402878,0.7553956834532374,608.0096108913422,0.6627078384798099
